"Ecosistemas del Altiplano Mex-LTER - Mexico";"c45a1651-342b-4841-90ca-e326ecb7fa37"
"GRACILIS Mex-LTER - Mexico";"e084e92c-bbbe-44ae-b09f-febee11218dc"
"Chamela Mex-LTER - Mexico";"ad69001b-f062-41f1-8a66-d94edb434b07"
"Manantlan Mex-LTER - Mexico";"3a25ec75-5654-4be0-a6cc-5bf5b2c3b8e6"
"Alchichica Mex-LTER - Mexico";"1df9e7b7-3ea4-454c-bad1-b5d680fcfb51"
"Los Tuxtlas Mex-LTER - Mexico";"5c4b2617-5310-4800-bb34-3e2c8b397d0d"
"Ecosistemas Costeros Mex-LTER - Mexico";"7a9b23b5-6f95-466c-9c74-b62953e8c2c7"
"La Mancha Mex-LTER - Mexico";"e7c4f09b-8513-4b4b-a331-2fa718af3d60"
"Lake Hovsgol MLTER Site - Mongolia";"4ef66fb9-7430-47c0-a078-4d297f77971d"
"Gobabeb - Namibia";"182ac129-f0b8-4808-9842-0c7c841802cc"
"Mt. Musuan Ecological Research - Philippines (the)";"418a8dee-ba31-40dc-b22c-ad9b6f1a4f3b"
"Mt. Malindang - Philippines (the)";"73e0d892-09ee-4f77-b0b0-ac0a16c44101"
"Mt. Hamiguitan - Philippines (the)";"2b771375-5163-46a1-8343-56d5506e934f"
"Apo Island Marine Sanctuary - Philippines";"0571137b-caca-4617-b415-32e42be6a3d7"
"Palanan Forest Dynamics Plot - Philippines (the)";"0ccf94f3-576d-46df-b148-5a6661ccd724"
"Algoa Bay Sentinel Site - South Africa";"6dfa31b5-f5d2-4579-b869-c329c2b76af6"
"Tsitsikamma National Park Marine Protected Area - South Africa";"8ee2fd18-359a-4f7c-a821-6702fe288e8e"
"South African Wildlife College, Tree Plots - South Africa";"d647afb2-ae8b-4f30-a3fe-b266bb60bb4f"
"Jonkershoek Valley - South Africa";"276274c0-e5f4-4f51-aa12-c5008f6e401e"
"Tierberg Karoo Research Station - South Africa";"f8faf035-aa97-4eb1-8752-d9aa136bb089"
"Fushan - Taiwan";"14c64e04-4152-455b-97a2-2cec1d2af13c"
"Yuan-yang Lake - Taiwan";"d40dcca2-4d45-44ae-bc95-dc6c68feb7b9"
"Nanjenshan - Taiwan";"ed57c1d0-0ba3-4d0b-bc05-69a785215db3"
"TataChia - Taiwan";"edb0fd6e-388a-4895-b643-0885da245927"
"Kenting Coral Reef - Taiwan";"f73666e3-a7d6-45c9-8361-59b4871b654c"
"Yuin Lin branch station - Taiwan";"2160380c-be8d-4283-9198-f53eff2c1689"
"Chi-Kuo branch station - Taiwan";"95fc2aec-1e22-4480-a21a-4297288d97e7"
"Chia-Yi branch station - Taiwan";"9102bd94-fd7d-4eda-b1aa-841a1e4fdade"
"Sakaerat Environmental Research Station - Thailand";"ac2a24f6-47d2-43da-97c4-217e10e7fc1a"
"Kok Ma Watershed Research Station - Thailand";"1a5e0900-69e2-4d3b-bf94-236dc75cea09"
"Sevilleta - United States of America";"ddc1a949-7d73-477b-9a22-e1898236e0b0"
"H. J. Andrews Experimental Forest - United States of America";"a7136f22-6d82-4177-b85a-82713b6fff5e"
"Virginia Coast Reserve LTER - United States of America";"263e8218-04fd-415c-8c68-46ed2a181b38"
"Bonanza Creek LTER - United States of America";"2537a071-ded4-4810-a36e-9ad1abf188b9"
"McMurdo Dry Valleys LTER - Antarctica";"61320397-64ef-4d2f-b774-97ea094bc5d2"
"Gwynns Falls Watershed - United States of America";"cfa339ad-cf01-4fb9-b486-5e17749b567a"
"Niwot Ridge - United States of America";"ee8851fa-9a79-48b2-b409-32bff7ba6317"
"Caribou-Poker Creeks Research Watershed - United States of America";"5a288b80-1cc0-4db2-a1e1-c4f98f50d7be"
"Central Arizona-Phoenix LTER - United States of America";"216b3e75-2f2b-49cc-8d16-ee814cfc085e"
"Cedar Creek Ecosystem Science Reserve - United States of America";"6c309b2f-9637-4f6a-b87a-2ea28fc1283f"
"Taylor Slough/Panhandle - United States of America";"eede68ec-0b66-4df7-b653-946b2846fa13"
"Shark River Slough - United States of America";"e1ef27ce-e501-45ca-9947-4064837d036b"
"Georgia Coastal Ecosystems LTER - United States of America";"2ff30374-ab93-4cc9-9ed3-199d3f81e1b8"
"Hubbard Brook Experimental Forest - United States of America";"635846c4-e015-431a-8211-009e7785b4b6"
"Harvard Forest - United States of America";"2eb3d86b-453c-4b27-9e26-8342fed912db"
"Jornada Basin LTER (JRN) - United States of America";"b12161b4-8372-4542-abfd-f981ef513857"
"Kellogg Biological Station - United States of America";"49e8551a-942d-483c-8402-e1a8c294a94d"
"Moorea Coral Reef LTER - French Polynesia";"2ecd078c-3bf8-4b70-8e0c-506c1116546e"
"North Temperate Lakes LTER - United States of America";"30993f40-5cce-49c7-b7f9-651fb9d7bbe4"
"Santa Barbara Coastal LTER - United States of America";"dbd399ed-9c26-4621-b479-7ab505c8aa35"
